iter	Passed	Remaining
0	6	3037
1	12	3034
2	18	3131
3	24	3057
4	30	2970
5	35	2901
6	38	2730
7	43	2692
8	49	2690
9	55	2705
10	60	2693
11	66	2704
12	72	2715
13	78	2714
14	84	2720
15	89	2718
16	95	2709
17	101	2717
18	107	2715
19	112	2708
20	118	2708
21	124	2710
22	130	2707
23	137	2729
24	142	2716
25	149	2723
26	155	2724
27	161	2714
28	167	2715
29	173	2713
30	178	2698
31	183	2687
32	189	2676
33	194	2658
34	199	2652
35	204	2641
36	209	2623
37	215	2619
38	220	2610
39	225	2593
40	231	2587
41	236	2580
42	241	2569
43	247	2561
44	252	2553
45	257	2537
46	262	2526
47	267	2519
48	272	2509
49	277	2498
50	282	2491
51	287	2479
52	292	2465
53	297	2459
54	302	2450
55	307	2438
56	312	2431
57	318	2425
58	323	2414
59	328	2405
60	333	2399
61	338	2390
62	343	2380
63	348	2375
64	353	2366
